Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1958-08-06,Poor Little Fool,Ricky Nelson,1,1,1,2,#
1958-08-06,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,2,54,2,2,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-08-06,Patricia,Perez Prado And His Orchestra,3,2,2,2,#
1958-08-06,Splish Splash,Bobby Darin,4,3,3,2,https://charts-static.billboard.com/img/1958/08/bobby-darin-hm6-180x180.jpg
1958-08-06,When,Kalin Twins,5,5,5,2,#
1958-08-06,My True Love,Jack Scott,6,8,6,2,#
1958-08-06,Hard Headed Woman,Elvis Presley With The Jordanaires,7,4,4,2,https://charts-static.billboard.com/img/1958/08/elvis-presley-0r3-180x180.jpg
1958-08-06,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,8,6,6,2,https://charts-static.billboard.com/img/1958/08/duane-eddy-vt9-180x180.jpg
1958-08-06,Just A Dream,Jimmy Clanton And His Rockets,9,12,9,2,#
1958-08-06,Willie And The Hand Jive,The Johnny Otis Show,9,9,9,2,#
1958-08-06,Yakety Yak,The Coasters,11,7,7,2,https://charts-static.billboard.com/img/1958/08/the-coasters-jiw-180x180.jpg
1958-08-06,If Dreams Came True,Pat Boone,12,14,12,2,https://charts-static.billboard.com/img/1958/08/pat-boone-4yc-180x180.jpg
1958-08-06,Fever,Peggy Lee,13,10,10,2,https://charts-static.billboard.com/img/1958/08/peggy-lee-55r-180x180.jpg
1958-08-06,Little Star,The Elegants,14,18,14,2,https://charts-static.billboard.com/img/1958/08/the-elegants-vkn-106x106.jpg
1958-08-06,Ginger Bread,Frankie Avalon,15,11,11,2,https://charts-static.billboard.com/img/1958/08/frankie-avalon-pf2-106x106.jpg
1958-08-06,Everybody Loves A Lover,Doris Day,16,19,16,2,https://charts-static.billboard.com/img/1958/08/doris-day-90u-180x180.jpg
1958-08-06,One Summer Night,The Danleers,17,16,16,2,#
1958-08-06,Born Too Late,Poni-Tails,18,26,18,2,#
1958-08-06,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,19,13,13,2,https://charts-static.billboard.com/img/1958/08/patti-page-xlb-180x180.jpg
1958-08-06,Endless Sleep,Jody Reynolds,20,17,17,2,#
1958-08-06,Western Movies,The Olympics,21,23,21,2,#
1958-08-06,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,22,21,21,2,https://charts-static.billboard.com/img/1958/08/johnny-cash-q0u-180x180.jpg
1958-08-06,For Your Precious Love,Jerry Butler and The Impressions,23,15,15,2,https://charts-static.billboard.com/img/1958/08/jerry-butler-qxb-180x180.jpg
