track_name,rank,date,artist_name,region,chart_type,position_change,weeks_on_chart,peak_position,previous_rank,source_type,track_id
#BrooklynBloodPop!,7,2021-05-17,SyKo,Argentina,viral50,SAME_POSITION,9,5,,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,5,2021-05-24,SyKo,Argentina,viral50,MOVE_UP,9,5,7.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,11,2021-05-31,SyKo,Argentina,viral50,MOVE_DOWN,9,5,5.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,13,2021-06-07,SyKo,Argentina,viral50,MOVE_DOWN,9,5,11.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,16,2021-06-14,SyKo,Argentina,viral50,MOVE_DOWN,9,5,13.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,18,2021-06-21,SyKo,Argentina,viral50,MOVE_DOWN,9,5,16.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,39,2021-06-28,SyKo,Argentina,viral50,MOVE_DOWN,9,5,18.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,36,2021-07-05,SyKo,Argentina,viral50,MOVE_DOWN,9,5,39.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#BrooklynBloodPop!,46,2021-07-12,SyKo,Argentina,viral50,MOVE_DOWN,9,5,36.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo
#Natural,22,2018-01-08,"Paty Cantú, Juhn",Argentina,viral50,SAME_POSITION,3,12,,charts_viral50,3y7XIu4NloDcCSekDbCvf6
#Natural,12,2018-01-15,"Paty Cantú, Juhn",Argentina,viral50,SAME_POSITION,3,12,22.0,charts_viral50,3y7XIu4NloDcCSekDbCvf6
#Natural,27,2018-01-22,"Paty Cantú, Juhn",Argentina,viral50,MOVE_DOWN,3,12,12.0,charts_viral50,3y7XIu4NloDcCSekDbCvf6
#WIPEITDOWN,43,2020-06-08,BMW KENNY,Argentina,viral50,NEW_ENTRY,1,43,,charts_viral50,5qOE3kEU14vcc6OUDkgKkv
#Ysya2020 Vol. 1 - Una de Dos,32,2020-07-13,"YSY A, CLUB HATS",Argentina,viral50,NEW_ENTRY,1,32,,charts_viral50,7nFta4LZyL0MTDDqbjiQW2
#Ysya2020 Vol. 4 - Pasa Que Yo,28,2020-11-02,"YSY A, Yesan 雪山",Argentina,viral50,NEW_ENTRY,1,28,,charts_viral50,7qf15ZBTnAyOZX5UIWrsKj
#Ysya2020 Vol. 5 - Silbando,43,2020-11-16,"YSY A, CLUB HATS",Argentina,viral50,NEW_ENTRY,1,43,,charts_viral50,6TI490muJ6RgFsYJc626BZ
#Ysya2020 Vol. 6 - Un Flow de Infarto,22,2020-11-16,"YSY A, Bizarrap",Argentina,viral50,NEW_ENTRY,1,22,,charts_viral50,2byu6eeLWaBq88ZtusqU4V
$$$,42,2018-05-07,(G)I-DLE,Argentina,viral50,NEW_ENTRY,1,42,,charts_viral50,6d8DgvFxp6lbdfOw9BVkLS
(It Happens) Sometimes,25,2018-09-24,Jack Back,Argentina,viral50,NEW_ENTRY,1,25,,charts_viral50,4psxV3oAIDBXKL2oS9KcFq
(You Make Me Feel Like) A Natural Woman,31,2018-08-20,Aretha Franklin,Argentina,viral50,MOVE_UP,1,31,,charts_viral50,5K09WxKdlkroDyEVyOSySy
(no me despegues tu boca),49,2020-04-27,Covi Quintana,Argentina,viral50,NEW_ENTRY,1,49,,charts_viral50,2j0KnNhlO9lY1EWPOkblK3
+,25,2020-01-13,"Aitana, Cali Y El Dandee",Argentina,viral50,NEW_ENTRY,7,25,,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,25,2020-01-20,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_UP,7,25,25.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,44,2020-01-27,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_DOWN,7,25,25.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,46,2020-02-17,"Aitana, Cali Y El Dandee",Argentina,viral50,NEW_ENTRY,7,25,44.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,42,2020-02-24,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_DOWN,7,25,46.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,50,2020-03-02,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_DOWN,7,25,42.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
+,49,2020-03-09,"Aitana, Cali Y El Dandee",Argentina,viral50,SAME_POSITION,7,25,50.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ
...Ready For It?,1,2017-09-04,Taylor Swift,Argentina,viral50,NEW_ENTRY,2,1,,charts_viral50,2yLa0QULdQr0qAIvVwN6B5
...Ready For It?,10,2017-09-11,Taylor Swift,Argentina,viral50,MOVE_DOWN,2,1,1.0,charts_viral50,2yLa0QULdQr0qAIvVwN6B5
