track_name,rank,date,artist_name,region,chart_type,position_change,weeks_on_chart,peak_position,previous_rank,source_type,track_id,duration,explicit,artist_id,genres,artist_count,release_date,country,type
#BrooklynBloodPop!,7,2021-05-17,SyKo,Argentina,viral50,SAME_POSITION,9,5,,charts_viral50,5tDbyeaCvxjNCBcupQucGo,145.612,True,08ZqXO40nMrhBoGma4kls2,"[""hyperpop""]",1.0,2020-07-27,Seattle,Person
#BrooklynBloodPop!,5,2021-05-24,SyKo,Argentina,viral50,MOVE_UP,9,5,7.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,11,2021-05-31,SyKo,Argentina,viral50,MOVE_DOWN,9,5,5.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,13,2021-06-07,SyKo,Argentina,viral50,MOVE_DOWN,9,5,11.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,16,2021-06-14,SyKo,Argentina,viral50,MOVE_DOWN,9,5,13.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,18,2021-06-21,SyKo,Argentina,viral50,MOVE_DOWN,9,5,16.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,39,2021-06-28,SyKo,Argentina,viral50,MOVE_DOWN,9,5,18.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,36,2021-07-05,SyKo,Argentina,viral50,MOVE_DOWN,9,5,39.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#BrooklynBloodPop!,46,2021-07-12,SyKo,Argentina,viral50,MOVE_DOWN,9,5,36.0,charts_viral50,5tDbyeaCvxjNCBcupQucGo,,,08ZqXO40nMrhBoGma4kls2,,,,Seattle,Person
#Natural,22,2018-01-08,Paty Cantú,Argentina,viral50,SAME_POSITION,3,12,,charts_viral50,3y7XIu4NloDcCSekDbCvf6,227.266,False,7K9rdoOJSiKXoVXPlSkGKT,"[""latin pop""]",2.0,2018-05-25,Mexico,Person
#Natural,12,2018-01-15,"Paty Cantú, Juhn",Argentina,viral50,SAME_POSITION,3,12,22.0,charts_viral50,3y7XIu4NloDcCSekDbCvf6,,,7K9rdoOJSiKXoVXPlSkGKT,,,,Mexico,Person
#Natural,27,2018-01-22,"Paty Cantú, Juhn",Argentina,viral50,MOVE_DOWN,3,12,12.0,charts_viral50,3y7XIu4NloDcCSekDbCvf6,,,7K9rdoOJSiKXoVXPlSkGKT,,,,Mexico,Person
#WIPEITDOWN (TikTok Classics Version),43,2020-06-08,BMW Kenny,Argentina,viral50,NEW_ENTRY,1,43,,charts_viral50,5qOE3kEU14vcc6OUDkgKkv,135.317,False,5iB9AOsC0IyhPYES06AYo0,[],2.0,2022-08-12,,Person
#Ysya2020 Vol. 1 - Una de Dos,32,2020-07-13,YSY A,Argentina,viral50,NEW_ENTRY,1,32,,charts_viral50,7nFta4LZyL0MTDDqbjiQW2,116.599,False,2qWK8K2Jfh67UqtwY8tCW6,"[""argentine trap"", ""trap""]",2.0,2020-06-22,Argentina,Person
#Ysya2020 Vol. 4 - Pasa Que Yo,28,2020-11-02,YSY A,Argentina,viral50,NEW_ENTRY,1,28,,charts_viral50,7qf15ZBTnAyOZX5UIWrsKj,100.365,False,2qWK8K2Jfh67UqtwY8tCW6,"[""argentine trap"", ""trap""]",2.0,2020-10-11,Argentina,Person
#Ysya2020 Vol. 5 - Silbando,43,2020-11-16,YSY A,Argentina,viral50,NEW_ENTRY,1,43,,charts_viral50,6TI490muJ6RgFsYJc626BZ,119.438,False,2qWK8K2Jfh67UqtwY8tCW6,"[""argentine trap"", ""trap""]",2.0,2020-10-18,Argentina,Person
#Ysya2020 Vol. 6 - Un Flow de Infarto,22,2020-11-16,YSY A,Argentina,viral50,NEW_ENTRY,1,22,,charts_viral50,2byu6eeLWaBq88ZtusqU4V,142.376,False,2qWK8K2Jfh67UqtwY8tCW6,"[""argentine trap"", ""trap""]",2.0,2020-10-26,Argentina,Person
Good Thing,42,2018-05-07,i-dle,Argentina,viral50,NEW_ENTRY,1,42,,charts_viral50,6d8DgvFxp6lbdfOw9BVkLS,154.386,False,2AfmfGFbe0A0WsTYm0SDTx,"[""k-pop""]",1.0,2025-05-19,South Korea,Group
(It Happens) Sometimes,25,2018-09-24,Jack Back,Argentina,viral50,NEW_ENTRY,1,25,,charts_viral50,4psxV3oAIDBXKL2oS9KcFq,202.276,False,4bXUaTjc7TQTvLqqCAlfYt,"[""tech house""]",1.0,2018-08-31,United States,Person
(You Make Me Feel Like) A Natural Woman,31,2018-08-20,Aretha Franklin,Argentina,viral50,MOVE_UP,1,31,,charts_viral50,5K09WxKdlkroDyEVyOSySy,165.333,False,7nwUJBm0HE4ZxD3f5cy5ok,"[""soul"", ""motown"", ""classic soul"", ""jazz blues""]",1.0,1968-01-22,United States,Person
(no me despegues tu boca),49,2020-04-27,Covi Quintana,Argentina,viral50,NEW_ENTRY,1,49,,charts_viral50,2j0KnNhlO9lY1EWPOkblK3,220.84,False,2sSqkk6j5gRa7MzeQqMfIN,[],1.0,2021-05-21,,Person
+ (MÁS),25,2020-01-13,Aitana,Argentina,viral50,NEW_ENTRY,7,25,,charts_viral50,1MXzojJav1N4cREWTFm1iZ,219.354,False,7eLcDZDYHXZCebtQmVFL25,[],2.0,2020-12-10,Spain,Person
